School,Room,Tag#,Type,Brand,Model Number,Serial Number,PO#,Vendor,Price,Funds,Purchase Date,Disposal Date
District Office,Technology,52142,Printer,Brother,HL-L5100DN,U64219C9N459109,220764,"Central Technologies, Inc.",199,General Purpose,8/7/2019,0000-00-00
District Office,Technology,51985,Monitor,LG,32MP58HQ-P,907NTLE5P744,220989,Amazon,169.99,General Purpose,9/10/2019,0000-00-00
District Office,Technology,54323,Document Camera,HoverCam,Ultra 8,UT8201109645285,95486,"Central Technologies, Inc.",445,Reopening and Programmatic Supports Grant,12/7/2020,0000-00-00
District Office,Technology,54324,Document Camera,HoverCam,Ultra 8,UT8201109697908,95486,"Central Technologies, Inc.",445,Reopening and Programmatic Supports Grant,12/7/2020,0000-00-00
District Office,Technology,54348,Projector,Epson,W39,,,,,,,0000-00-00
District Office,Technology,52886,Laptop,Lenovo,ThinkPad 11e Yoga Gen 6,LR-0E63H2,95428,"Central Technologies, Inc.",651,Reopening and Programmatic Supports Grant,9/18/2020,0000-00-00
District Office,Technology,52888,Laptop,Lenovo,ThinkPad 11e Yoga Gen 6,LR-0E6Z0Z,95428,"Central Technologies, Inc.",651,Reopening and Programmatic Supports Grant,9/18/2020,0000-00-00
District Office,Technology,52889,Laptop,Lenovo,ThinkPad 11e Yoga Gen 6,LR-0E6YZW,95428,"Central Technologies, Inc.",651,Reopening and Programmatic Supports Grant,9/18/2020,0000-00-00
District Office,Technology,52890,Laptop,Lenovo,ThinkPad 11e Yoga Gen 6,LR-0E6Z0X,95428,"Central Technologies, Inc.",651,Reopening and Programmatic Supports Grant,9/18/2020,0000-00-00
District Office,Technology,53077,Cart,Anywhere Cart,AC-SLIM-PW45,AC-SLIM-32681,222153,"Central Technologies, Inc.",1900,ESSER 1.0,1/27/2021,0000-00-00
District Office,Technology,53138,Cart,Anywhere Cart,AC-SLIM-PW45,AC-SLIM-32653,222153,"Central Technologies, Inc.",1900,ESSER 1.0,1/27/2021,0000-00-00
District Office,Technology,53137,Cart,Anywhere Cart,AC-SLIM-PW45,AC-SLIM-32725,222153,"Central Technologies, Inc.",1900,ESSER 1.0,1/27/2021,0000-00-00
District Office,Technology,53139,Cart,Anywhere Cart,AC-SLIM-PW45,AC-SLIM-32726,222153,"Central Technologies, Inc.",1900,ESSER 1.0,1/27/2021,0000-00-00
District Office,Technology,53136,Cart,Anywhere Cart,AC-SLIM-PW45,AC-SLIM-32640,222153,"Central Technologies, Inc.",1900,ESSER 1.0,1/27/2021,0000-00-00
District Office,Technology,53135,Cart,Anywhere Cart,AC-SLIM-PW45,AC-SLIM-32736,222153,"Central Technologies, Inc.",1900,ESSER 1.0,1/27/2021,0000-00-00
District Office,Technology,53361,Laptop,Lenovo,100e 2nd Gen,R910L6NP,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53460,Laptop,Lenovo,100e 2nd Gen,R910L64J,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53479,Laptop,Lenovo,100e 2nd Gen,R910L547,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53582,Laptop,Lenovo,100e 2nd Gen,R910L51F,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53601,Laptop,Lenovo,100e 2nd Gen,R910L60K,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53636,Laptop,Lenovo,100e 2nd Gen,R910L5JP,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53647,Laptop,Lenovo,100e 2nd Gen,R910L4W1,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53684,Laptop,Lenovo,100e 2nd Gen,R910L5EC,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53772,Laptop,Lenovo,100e 2nd Gen,R910L6T8,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53783,Laptop,Lenovo,100e 2nd Gen,R910L6ZE,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53814,Laptop,Lenovo,100e 2nd Gen,R910L70G,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53920,Laptop,Lenovo,100e 2nd Gen,R910L5LG,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,53944,Laptop,Lenovo,100e 2nd Gen,R910L5H0,95349,"CDW Government, Inc.",207,Learning Technology Grant,1/6/2021,0000-00-00
District Office,Technology,54011,Laptop,Lenovo,100e 2nd Gen,R910L64F,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54110,Laptop,Lenovo,100e 2nd Gen,R910L5PQ,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54112,Laptop,Lenovo,100e 2nd Gen,R910L58Q,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54113,Laptop,Lenovo,100e 2nd Gen,R910L56M,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54114,Laptop,Lenovo,100e 2nd Gen,R910L57D,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54115,Laptop,Lenovo,100e 2nd Gen,R910L5QY,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54117,Laptop,Lenovo,100e 2nd Gen,R910L5Q3,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54120,Laptop,Lenovo,100e 2nd Gen,R910L64W,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54121,Laptop,Lenovo,100e 2nd Gen,R910L66V,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54124,Laptop,Lenovo,100e 2nd Gen,R910L661,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54125,Laptop,Lenovo,100e 2nd Gen,R910L5AA,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54126,Laptop,Lenovo,100e 2nd Gen,R910L5DF,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54127,Laptop,Lenovo,100e 2nd Gen,R910L66Z,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54129,Laptop,Lenovo,100e 2nd Gen,R910L600,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54130,Laptop,Lenovo,100e 2nd Gen,R910L71S,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
